#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	7101_metaphlan	7102_metaphlan	7103_metaphlan	7104_metaphlan	7105_metaphlan	7106_metaphlan	7107_metaphlan	7108_metaphlan	7109_metaphlan	7111_metaphlan	7112_metaphlan	7113_metaphlan	7114_metaphlan	7116_metaphlan	7117_metaphlan	7118_metaphlan	7119_metaphlan	7121_metaphlan	7122_metaphlan	7123_metaphlan	7124_metaphlan	7125_metaphlan	7126_metaphlan	7127_metaphlan	7128_metaphlan
UNCLASSIFIED	10.89011	9.19715	4.91333	2.62137	19.86022	15.25022	12.73326	13.3201	12.9266	10.74596	16.29859	12.73175	8.16027	11.56692	8.74503	10.06375	14.42887	12.24302	14.35925	9.63808	12.15901	12.20824	8.99308	6.59769	9.32152
k__Bacteria	88.90128423722622	90.80285207608456	95.0866655371217	97.3786312148843	77.53619679945906	84.74977887767885	87.26674390062618	86.67990170305369	87.07340020168213	89.25404077761647	83.70140881639807	86.2494985702123	91.121290431744	88.43308459595174	90.82154770034356	89.93624608832624	85.56897958175331	87.75698083736087	85.24289574266223	90.36191597183702	85.42588300313768	85.89947435032992	91.00691500016788	93.40231194991424	90.67847809377244
k__Archaea	0.2086062536391157	0.0	0.0	0.0	2.603581104545294	0.0	0.0	0.0	0.0	0.0	0.0	1.0187521047291312	0.7184346171399042	0.0	0.4123082159220356	0.0	0.0021478352981679	0.0	0.3978526607830454	0.0	2.39418529444934	1.8922900269164824	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	67.24717985343874	63.23359885844083	43.07361289899048	66.00011038338658	58.625252778450594	59.41123066398521	69.1007138030877	62.74502378574032	76.54009614992455	66.6561136568704	71.49804473603898	65.1710569215395	69.99612401257713	66.79471148527286	74.52507961054583	59.189849561605456	71.70856198992543	58.88940974789184	66.23589937497451	78.33697689531002	64.92195080439689	68.94853513425393	65.78030780084534	74.5581153070832	60.16395512361156
k__Bacteria|p__Bacteroidota	14.474279910234138	23.11623595040651	21.611116678612504	28.13639668382936	6.799996392777207	12.84025254824359	13.825905856384738	18.642627850843247	6.594948038615425	18.202959973411375	11.07927927037752	13.611953384251215	15.04339288286971	15.892857917862983	12.066380350038642	21.06287097414461	4.59138729846383	24.697104864833204	13.590647234911824	5.453495244157517	8.798970682137968	13.522899075731898	17.057862911673467	6.189771212920816	27.60594731036847
k__Bacteria|p__Actinobacteria	5.617496407533199	2.9505297147898766	28.468548297818984	2.4325668970634173	4.436658314432537	10.757408082634203	0.7067646321767813	2.403408306481251	2.3511472449058006	3.7659582203585154	0.8857199379542428	6.256688505314857	0.4472961968780842	3.3037185475694035	2.5629597759996274	8.921765548208052	8.439332641928319	3.063982331747952	2.296876308105562	5.9375459556354535	4.015852984562198	2.623911474530703	7.626798108823068	12.312983938346123	2.804104985180582
k__Bacteria|p__Proteobacteria	0.7641707768934647	1.1399571655335807	1.933387661699742	0.8057107946719526	0.7715617397263828	1.1032726214296231	0.6639079342471839	2.6698276523557563	0.7989419835505344	0.5787142749979874	0.2352176990558418	1.123971434567908	0.6542662012482491	0.4870363701037446	1.447732759315285	0.7617600043681233	0.8256929226726131	1.0100214195514374	1.6584502209823986	0.6119218587696831	0.7405874037365262	0.4453500623328955	0.5323813520594821	0.3410678823163068	0.0154697483627975
k__Bacteria|p__Verrucomicrobia	0.7488171427618886	0.0	0.0	0.0	6.752457476524552	0.6295976323043885	2.7475847050368247	0.0846082520523507	0.0068004325557513	0.0151731869321947	0.0	0.0	4.890887821588293	1.9428925551899792	0.0285993083241038	0.0	0.004004728763118	0.0	1.23416882524205	0.0	6.570971760494836	0.2366865967610563	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota	0.2086062536391157	0.0	0.0	0.0	2.603581104545294	0.0	0.0	0.0	0.0	0.0	0.0	1.0187521047291312	0.7145589807428413	0.0	0.4123082159220356	0.0	0.0021478352981679	0.0	0.3978526607830454	0.0	2.39418529444934	1.8922900269164824	0.0	0.0	0.0
k__Bacteria|p__Tenericutes	0.0254052297789457	0.0	0.0	0.0	0.1357167138804313	0.0	0.1957742132666647	0.0	0.0076885812378085	0.0	0.0	0.0	0.0	0.0	0.0116897619537897	0.0	0.0	0.0	0.0	0.0	0.0414521641351283	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.0126001385154083	0.009552460038404	0.0	0.0038367180698664	0.0107788001280885	0.0080088541039406	0.0219301327422273	0.0224500945410909	0.0129042779098892	0.0	0.0031471729714965	0.0284843570203008	0.0144004688876649	0.0107623063953273	0.0303422782953558	0.0	0.0	0.0156558453813851	0.0	0.0208916749726887	0.0076773027027128	0.0052148308040084	0.0095557260750176	0.0003736092477996	0.032644252113758
k__Bacteria|p__Lentisphaerae	0.0113436890594871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0238631752608588	0.0	0.0	0.0	0.0	0.0	0.0	0.0045037175125527	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	60.23243145201971	61.43753660494629	41.673480766289465	64.29480605568841	39.89630619306211	56.00695069615929	55.68858321290778	59.18019147633986	71.98364089811075	64.26256126912482	66.9801691236242	59.340394562369575	27.414901828864743	60.11542250889984	58.31989386955663	53.34279741379128	67.17105027328337	55.06066920663671	58.31879756844381	76.12627262105903	47.09337413146828	50.81364496296284	57.14823820823892	71.38721889915794	59.1121754562019
