sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
S_7105,Vescimonas fastidiosa,2714353,S,16725,17525,34250,0.00095,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas fastidiosa,2;1239;186801;186802;216572;2892396;2714353
S_7105,Pusillibacter faecalis,2714358,S,34497,10981,45478,0.00126,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pusillibacter;s__Pusillibacter faecalis,2;1239;186801;186802;216572;2892397;2714358
S_7105,Pseudoflavonifractor gallinarum,2779352,S,34208,13336,47544,0.00132,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor gallinarum,2;1239;186801;186802;216572;1017280;2779352
S_7105,Lawsonibacter asaccharolyticus,2108523,S,31218,5090,36308,0.00101,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus,2;1239;186801;186802;216572;2172004;2108523
S_7105,Oscillibacter sp. PEA192,2109687,S,15354,170514,185868,0.00515,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp. PEA192,2;1239;186801;186802;216572;459786;2109687
S_7105,Oscillibacter hominis,2763056,S,14425,4741,19166,0.00053,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter hominis,2;1239;186801;186802;216572;459786;2763056
S_7105,Subdoligranulum variabile,214851,S,9732,7525,17257,0.00048,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Subdoligranulum;s__Subdoligranulum variabile,2;1239;186801;186802;216572;292632;214851
S_7105,uncultured Subdoligranulum sp.,512298,S,6617,6821,13438,0.00037,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Subdoligranulum;s__uncultured Subdoligranulum sp.,2;1239;186801;186802;216572;292632;512298
S_7105,Anaerotruncus colihominis,169435,S,23710,10367,34077,0.00094,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus colihominis,2;1239;186801;186802;216572;244127;169435
S_7105,Dysosmobacter welbionis,2093857,S,8962,94280,103242,0.00286,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis,2;1239;186801;186802;216572;2591381;2093857
S_7105,Solibaculum mannosilyticum,2780922,S,8084,5059,13143,0.00036,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Solibaculum;s__Solibaculum mannosilyticum,2;1239;186801;186802;216572;2842531;2780922
S_7105,Caproicibacterium argilliputei,3030016,S,1939,502,2441,0.00007,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium;s__Caproicibacterium argilliputei,2;1239;186801;186802;216572;2834348;3030016
S_7105,Caproicibacterium sp. BJN0003,2994078,S,174,62,236,0.00001,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium;s__Caproicibacterium sp. BJN0003,2;1239;186801;186802;216572;2834348;2994078
S_7105,Caproicibacterium amylolyticum,2766537,S,14,14,28,0.00000,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium;s__Caproicibacterium amylolyticum,2;1239;186801;186802;216572;2834348;2766537
S_7105,Mageeibacillus indolicus,884684,S,149,50,199,0.00001,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Mageeibacillus;s__Mageeibacillus indolicus,2;1239;186801;186802;216572;1637257;884684
S_7105,Amygdalobacter nucleatus,3029274,S,74,18,92,0.00000,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Amygdalobacter;s__Amygdalobacter nucleatus,2;1239;186801;186802;216572;3079925;3029274
S_7105,Ethanoligenens harbinense,253239,S,21,3,24,0.00000,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ethanoligenens;s__Ethanoligenens harbinense,2;1239;186801;186802;216572;253238;253239
S_7105,Paludicola sp. MB14-C6,3070656,S,20,0,20,0.00000,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Paludihabitans;s__Paludicola sp. MB14-C6,2;1239;186801;186802;216572;2038676;3070656
